run_id,beam_file,N,loss_sigma,learning_rate,final_apodized_loss,k_t_inferred,exec_time_seconds,status,output_directory
136,beam_v1_256.mat,13,10.0,0.01,993.3719482421875,4.817865371704102,242.57,EXITOSO,outputs/20260623_044824_beam_v1_256
137,beam_v1_256.mat,13,10.0,0.0001,993.3282470703125,4.8211350440979,238.87,EXITOSO,outputs/20260623_045222_beam_v1_256
138,beam_v1_256.mat,13,10.0,1e-06,1717.8851318359375,4.6671142578125,237.61,EXITOSO,outputs/20260623_045620_beam_v1_256
139,beam_v1_256.mat,13,100.0,0.01,134.67636108398438,2.7068545818328857,246.12,EXITOSO,outputs/20260623_050027_beam_v1_256
140,beam_v1_256.mat,13,100.0,0.0001,134.75025939941406,2.6774909496307373,238.98,EXITOSO,outputs/20260623_050426_beam_v1_256
141,beam_v1_256.mat,13,100.0,1e-06,233.66680908203125,2.7062134742736816,244.66,EXITOSO,outputs/20260623_050830_beam_v1_256
142,beam_v1_256.mat,13,100000.0,0.01,0.13520222902297974,2.679732322692871,245.84,EXITOSO,outputs/20260623_051236_beam_v1_256
143,beam_v1_256.mat,13,100000.0,0.0001,0.13519404828548431,2.677316188812256,241.64,EXITOSO,outputs/20260623_051638_beam_v1_256
144,beam_v1_256.mat,13,100000.0,1e-06,0.24091649055480957,2.687408924102783,241.21,EXITOSO,outputs/20260623_052039_beam_v1_256
145,beam_v1_256.mat,14,1.0,0.01,42.14982986450195,8.908672332763672,257.03,EXITOSO,outputs/20260623_052456_beam_v1_256
146,beam_v1_256.mat,14,1.0,0.0001,41.9669189453125,8.950504302978516,256.82,EXITOSO,outputs/20260623_052913_beam_v1_256
147,beam_v1_256.mat,14,1.0,1e-06,382.8050842285156,9.899402618408203,258.79,EXITOSO,outputs/20260623_053332_beam_v1_256
148,beam_v1_256.mat,14,10.0,0.01,196.73806762695312,2.210432767868042,260.26,EXITOSO,outputs/20260623_053752_beam_v1_256
